N;964.7;19;104.7;Y;40;7;N;N
N;524.1;15;24.2;N;55;4;Y;N
N;234.2;18;13.8;Y;66;15;N;N
Y;207.7;8;56.3;N;45;23;Y;N
Y;910.6;11;59.1;N;31;23;Y;Y
Y;837.3;4;73.7;N;64;21;N;Y
Y;724.4;11;108.7;N;72;2;Y;N
Y;354.8;12;39.2;Y;75;9;N;Y
N;730.8;18;14.4;N;87;1;Y;N
Y;338.7;13;41.5;N;46;11;N;N
N;677.1;15;84.3;Y;59;2;Y;N
Y;307.5;18;73;Y;20;3;Y;Y
N;379.6;16;81.3;N;77;7;N;N
Y;427.4;9;84.4;N;77;12;N;N
N;132.2;1;54.4;Y;72;6;Y;N
Y;573.2;12;35;Y;73;5;Y;N
N;445.8;17;70.2;Y;31;22;N;N
N;230.2;7;47.2;Y;81;6;N;N
N;670.8;2;70.9;N;3;6;Y;N
N;692.2;7;32.8;N;60;12;Y;N
N;54.1;13;78.2;Y;37;16;Y;N
N;445.6;15;13;Y;32;3;Y;Y
N;320.7;11;62.2;N;70;23;N;N
N;24.6;2;15.2;N;82;8;Y;N
N;12.2;16;20;Y;75;2;N;Y
Y;209.8;19;12.8;Y;64;2;Y;Y
Y;819.8;5;93.4;N;65;19;Y;N
N;120.6;11;84.3;N;56;21;N;N
Y;61.5;2;32.9;N;65;21;N;N
Y;702.8;4;44.7;N;25;16;Y;N
N;804.3;2;58;Y;24;11;N;Y
N;109.8;18;96.4;Y;35;21;N;N
N;130.9;14;61.8;Y;92;4;N;Y
N;479.4;18;51.2;Y;64;5;N;N
Y;50.1;18;12.8;Y;30;18;N;N
N;604.1;8;73.2;Y;66;1;Y;N
Y;553.2;11;101.3;Y;94;3;N;N
Y;997.1;15;91.9;Y;45;11;N;Y
Y;313.3;18;82.2;Y;53;17;Y;N
Y;851.3;11;36.8;Y;70;12;N;Y
N;492.3;20;77.7;Y;10;21;N;N
Y;501.5;7;10.7;N;37;7;N;Y
Y;240.1;10;18.1;Y;81;2;Y;Y
Y;948.1;6;43.9;N;87;17;Y;N
N;280.1;16;29.5;Y;17;11;Y;Y
Y;472.7;16;92.1;Y;15;0;N;Y
Y;65.7;3;100;Y;50;4;Y;N
N;573.3;6;16.2;N;43;20;N;N
N;748.3;14;106.2;N;18;17;N;N
N;334.5;17;29.6;N;7;18;N;N
N;451.4;9;61.9;Y;3;10;Y;N
N;6.9;19;17.9;Y;57;19;Y;N
Y;781;19;70.4;Y;47;17;N;Y
Y;75.6;18;87.7;Y;65;23;N;N
N;75.9;14;32.6;Y;14;11;Y;Y
Y;316.2;19;96.2;Y;94;0;Y;Y
